answer,clue
NCAR,It borders Tenn.
PERES,Members of familles
LUIS,Argentine author Jorge ___ Borges
CHOIR,Church group
HEARN,"George of ""La Cage aux Folles"""
LACEY,Daly role
ARPA,Angelo's instrument
BANKS,River pair
NEATH,"Under, poetically"
BISON,Image on an old nickel
HUP,March starter
KNOCK,Deride
IN LA,"""To Live and Die _____"""
KYL,Arizona senator Jon
MINE,"""Gimme!"""
PARDO,"Cameo voicer on Weird Al Yankovic's ""I Lost on Jeopardy"""
TOSH,Reggae musician Peter
MACH,Name often followed by a number
GALL,More than irk
BLED,Ran across the border
VODKA,Sea breeze ingredient
LAVA,___ lamp (1960s novelty)
BLAH,Prosaic
LITH,Neighbor of Pol.
SHOUT,Raise the roof
HUTT,"Jabba the ___, ""Star Wars"" villain"
AUTRY,"""Mexicali Rose"" singer"
OPTS,Checks a particular box
VIRUS,"Hacker's creation, perhaps"
IN ST,Part of 58-Down: Abbr.
CAN A,Galilee town in John 2:1
JONES,Bonhomme Richard captain
SARIS,Bollywood wraps
KATY,"Singer Perry with the 2010 #1 hit ""California Gurls"""
IDLED,Wasn't employed
SKEE,_____-Ball (arcade game)
BOAC,Former Eur. carrier
ESSIE,"Davis who played Maggie in two ""Matrix"" movies"
ETHAN,Historical Allen
CAPRI,Old Mercury
TISH,Cookbook author ___ Boyle
WINOS,Lushes
OL OR,Swan genus
MUCK,Mire
ULA,"Suffix meaning ""little one"""
LEAP,Long spring
JUNO,2007 Best Picture nominee with a mythological name
PROBE,Grand jury's activity
SAUNA,Condo luxury
PINEY,Like the scent of many cleaners
CHAR,Blacken on the barbecue
JABS,Certain punches
CN ET,Online tech news resource
GLOP,Mush
BARRE,Vermont city
WARNS,Gives notice
DIAG,Corner-to-corner: Abbr.
IT BE,"""Can ___?"""
CBC,Source of northern exposure?
SYNTH,___-pop
WASH,"Drawers on a line, e.g."
CAPO,Syndicate biggie
IBEX,Horned rock climber
PET A,Prefix with byte that means 10^15
RANG,Tried to get hold of
HIRE,"Take on, as an employee"
EINE,"One, to Wilhelm"
WOMAN,"John Lennon song that ends ""I love you, yeah, yeah, now and forever"""
ZAIRE,"Belgian Congo, today"
BURN,"Make, as a copy of a CD"
SHEEN,It may reflect well on you
TONES,Staff notes?
ENDUE,"Provide, as with a quality"
THAD,Jazz musician Jones
CP LS,They're over specialists: Abbr.
FLOAT,Parade component
GLO,"Shine, in ads"
CUTER,"More cuddly, say"
STADT,Town: Ger.
SEALY,Mattress maker
INERT,Very slow-moving
IBID,"Bibliog. equivalent of ""ditto"""
PAGED,"Summoned on an intercom, say"
JIHAD,Crusade
GNUS,Striped animals
MOTOR,Driving force
LYONS,Rhone's capital
NORMS,They're expected
NADA,Goose egg
LOUT,Stumblebum
WISED,"Got smart, with ""up"""
CHOC,"22-Across flavor, for short"
ULNAE,Skeleton parts
TO VE,"Slithy one, to Carroll"
ACHES,Yearns (for)
MUTES,"Softens, as tone"
OCHS,"""The Highwayman"" singer"
SNAGS,They sometimes lead to runs
FUR,Shed stuff
REZ A,Shah Pahlavi
HEXAD,Series of six
ASKEW,Like an off-center tie
COTTA,White vestment
OILS,Classic paintings
VINO,Trattoria order
EZ ER,Six-Day War leader Weizman
CEDAR,Wood for a storage closet
HAIG,Department of State chief under Reagan
SANK,"What the Titanic did, famously"
MYC,Mushroom: Prefix
DENEB,Star in the constellation Cygnus
SSA,Org. that has its benefits
PEONY,Big bloomer
DEISM,Jeffersonian belief
AMT,"Tbsp., e.g."
ESK,Inuit: Abbr.
PIK,Commercial end for Water
MONOS,Some old recordings
YOO,"""Hoo"" preceder"
CML,"Year that Eric the Red was born, traditionally"
ED A,Late writer LeShan
SWALE,Marshy tract
CAPT,U.S.N. rank
KNACK,Hang of it
GRAPE,"Wine, informally, with ""the"""
ROOMY,Like a luxury car
AL PH,Fictional river of verse
UP DO,"Pageant coif, maybe"
ROW,Follow the coxswain's calls
LIVED,Was
DUEL,Contest that leads to a draw
PITHY,Terse
DANK,"Cold and damp, as a dungeon"
BLANC,"Mel with ""1,000 voices"""
BLEAT,Complain
DEGAS,"""Dancers at the Bar"" painter"
YOWL,Protest vehemently
BYTE,Small memory amount
PLUG,Stop up ... or talk up
SIBYL,Delphic figure
WAS,Is past?
WRAY,"Old film actress who starred in 1950's TV's ""The Pride of the Family"""
WHOLE,Unbroken
LLD,Obama's honorary deg. from Notre Dame
TAU,T in Sparta
HI FI,Spinner for the Spinners
ISE,British suffix with American
LAIR,Villain's hangout
WIRER,"Electrician, at times"
FEU,Pot-au-___ (meat and vegetable dish)
MERIT,Kind of pay
COKED,Converted from coal via distillation
VO OM,"""Va-va-va- _____!"""
ADANA,"Turkish city, site of a 1943 Churchill conference"
ELLY,"___ May of ""The Beverly Hillbillies"""
PUMA,Catamount
TECHS,"Workers in some labs, informally"
AVIAN,Ornithology-related
NODE,Meeting place
NUDES,Certain posers
GYMS,Fitness centers
KMART,Blue Light Special offerer
ARTUR,Figure skater Dmitriev
LURE,"Neon sign, e.g."
HEF,"Debonair ""bunny man"""
FLUTE,Glass with bubbles
CCL I,Mid third-century year
EF OR,Get an _____ effort
JA NS,Peerce and Smuts
YUAN,Chinese money
YUM,Compliment to the chef
MACRO,Software user's shortcut
COTAN,"Right-triangle ratio, for short"
ROOKS,"Corner pieces, in chess"
GAILY,"1969 Beau Bridges film, when doubled"
YAKS,Goes on and on
VAR,Alternative spelling: Abbr.
ADORN,Make pretty
GIVER,Donor
BRAIN,"With 25-Across, a puzzle"
DUNES,Buggy places?
SEVER,Abscind
BLINI,Crepes
EZ IO,Met singer Pinza
CODEX,Ancient volume
BOZOS,Chuckleheads
WARS,General interests?
FOR A,"""___ good time ?"""
MBA,"Future corp. exec., maybe"
GOBOS,Recording studio sound shields
BANGS,Hair style
SEDA,"Jon of TV's ""UC: Undercover"""
WORLD,Earth
RATED,Was considered special
GIST,Thrust
SINES,Curve creators
GAIT,"Trot or canter, e.g."
JED,"Prez's first name on ""The West Wing"""
BOHO,"Eschewer of convention, in slang"
CHIMP,"Cheeta, in ""Tarzan"" films"
CLAN,Hatfields or McCoys
RACKS,Oven appurtenances
OPIUM,It may be found in a den
ICKY,Highly off-putting
LARK,See 38-Across
INDY,"May event, informally"
ADDIE,"Girl's name that's a two-part hint to 1-/20-, 27-, 45- and 53-Across"
HOLA,"Ciao, in Chile"
SIL,"Steven Van Zandt's role on ""The Sopranos,"" informally"
RUSTS,"Becomes inoperable, maybe, as an old machine"
HUTS,Preceder of snaps
NO GS,Spiced holiday drinks
HOWIE,Actor Mandel
ITALY,Nation with the most Unesco World Heritage Sites
DDE,Running mate for R.M.N.
NISI,"Not finalized, at law"
WIGS,Clown's supply
TECLA,"Santa ___, El Salvador"
TOOLE,"""A Confederacy of Dunces"" author"
DECL,Latin grammar task: Abbr.
FRAU,The lady of the Haus
OTB,"Gambling parlor, for short"
BALA,___ Cynwyd (Philadelphia suburb)
HEEP,Villainous Uriah
BANE,Source of ruin
GOG I,"___ Grant, ""The Wayward Wind"" singer, 1956"
DARED,Took a 13-Down
GOOSE,Dinner bird
A BES,Fives
FAB,Hunky-dory
SALVO,Military blast
COW,"""Moo"" maker"
MULE,Plodding sort
CASS,Mama of the Mamas and the Papas
DRIFT,Underlying meaning
GRANT,Study aid?
APING,Doing a takeoff
WRITS,Mittimus and mandamus
ALARM,Hue and cry
TOOT,Spree
FALLS,Slips
PECK,Hit with the bill?
LUAUS,"Parties with mai tais, maybe"
SENS,Upper house members: Abbr.
DEUX,Pierre's pair
STOVE,Where a cook cooks
LAX,W. Coast airport one might think has poor security?
CRASH,2005 Best Picture winner
PLANE,Pilot's command
SPEE,Germany's Graf von _____
HOPI,Southwestern cliff dwellers
GORGE,Stuff to the gills
RIDER,Document amendment
MB ES,U.K. honors
OVEN,Kind of rack
DEALT,Did a Vegas job
NORSK,"Scandinavian language, to natives"
DCL,Mid seventh-century year
AXMEN,"Guitar players in rock bands, slangily"
SOIR,Matin's opposite
EGER,Hungarian city that has hosted two World Puzzle Championships
MEOWS,Feline inquiries
SHOTS,Subject of testimony in a murder trial
ALY,___ Khan (ex of Rita Hayworth)
SC TV,"Onetime ""S.N.L.""-type show"
SPOTS,Makes out
AMMAN,Capital on the Jabbok
SO I,_____-disant (self-styled)
AM BI,Prefix whose last two letters are a prefix meaning the same thing
POMP,Grand display
DIDO,Founder and first queen of Carthage
BE I,"""___ Mir Bist Du Schön"" (1938 hit)"
RIGG,1969 Bond girl
DESKS,Drawer holders
WASPS,Some nest builders
AUGIE,___ Doggie of old cartoons
ZOOMS,Flies
FOLIO,Leaf
YKNOW,"""... see what I mean?"""
FRONT,"Main battle line, with ""the"""
SASK,It's between Alta. and Man.
GIGI,"Movie with the song ""I Remember It Well"""
UGO,"Tognazzi of ""La Cage aux Folles"""
ALLY,One in your corner
BAEZ,Folk singer Joan
EILAT,Gulf of Aqaba resort city
ENNIS,"""Brokeback Mountain"" role"
ARM A,"First word of Virgil's ""Aeneid"""
GROSS,Shipping amount
MARES,Horses that produce milk
HMM,Thoughtful interjection
NAHUM,Prophet who predicted the destruction of Nineveh
KYRA,"Sedgwick of ""The Closer"""
NOTES,Dos but not don'ts
WAIST,Place for a spare tire?
AQABA,City across the border from Eilat
RIDES,Midway sights
JONI,Songbird Mitchell
SEIZE,Take forcibly
FRAME,Bowling scoresheet unit
SUDAN,Land south of Egypt
ESC,Key near F1
HYATT,Grand ___
KAUAI,One of the five counties of Hawaii
ROMES,Some apples
SYNCH,Accord
CH IS,Parts of some chapter names
DERMS,Skin suffixes
WHALE,Orion : Hunter :: Cetus : ___
HULA,Oahu dance
NITRO,Demolitionist's supply
PIERO,Renaissance artist ___ della Francesca
SHEM,Brother of Ham and Japheth
CHINA,Where 84-Across were invented
REVUE,Casino show
TN UT,Letter-shaped hardware item
SLAP,"Invitation to duel, perhaps"
SR OS,"Some low-budget hotels, for short"
ADZE,Wood shaper
HINTS,Subtle reminders
LINER,"Queen Elizabeth, for one"
ROI,Many a Louis
KAREL,"Capek who wrote ""R.U.R."""
EEK,Reaction to a rodent
HAZY,Unclear
CRIES,"Gets emotional at a wedding, maybe"
GOV,URL ending
THYME,Bouquet garni element
APR,Kind of financing
KILL,Block passage of
SWINE,Cast pearls before ___
SLIWA,Guardian Angels founder Curtis
CERN,Geneva research ctr.
TIGHT,___ as a drum
SNARF,"Devour, with ""up"" or ""down"""
ORBS,Round bodies
WADE,Proceed with difficulty (through)
ADIOS,"""I'm gone"""
BYRNE,"One of ""The Usual Suspects"" of film"
ROBOT,One who acts without thinking
BLAZE,"Four-alarmer, e.g."
TOWED,Like some stalled vehicles
ROPY,Like thick vines
STONY,Hardhearted
REUSE,"Get extra value from, say"
HILT,Saber handle
HAUT,High in the French Alps
BABE,Innocent one
OHS,Ahas
BURIN,Engraver's tool
TRIPS,Steps lightly
BREST,French shipyard city
VEEP,#2
AWNS,Stiff bristles
BENJI,1974 film shot from a dog's-eye view
PLOD,Walk wearily
MY MY,"""Well!"""
VFW,Old G.I.'s group
BELLY,Underside of a ship
PUMP,Bilge need
AMOK,Berserk
SNOWY,Very white
LAV,"Restroom, informally"
SUCRE,South American capital
SLANT,Bias
TRIX,Honeycomb alternative
TWIT,Insignificant one
NEWSY,Breezily informative
POOP,___ deck
CREED,"2015 ""Rocky"" sequel"
SUPER,Fab
CUP,Driver's target
RAWER,Not as experienced
ACT A,"Parliamentary proceedings, e.g."
TURNS,Succession in a board game
SPAT,Lover's quarrel
HILLY,Not flat
SERI,Bandar___ Begawan (Brunei's capital)
WHEAT,Bread choice that's not white or rye
A NEW,Again from the top
TORTS,Stuff from which some suits are made?
HO TL,"Off-Broadway's ""___ Baltimore"""
OARED,Had a row
LISA,Bart's intelligent sister
YON,Not hither
TAPE,Welcome sight for a marathoner
FAME,Public regard
CARES,Gives a fig
MILES,Marathon markers
JULE,"Stephen's ""Gypsy"" collaborator"
GAD,"""Crikey!"""
XCI,"91, to Nero"
STATE,Maryland or Hawaii
FIT,It's thrown in anger
HUMOR,Mark Twain forte
TIES,Rackful in a closet
RHOS,P's
BERT,"Pitcher Blyleven with 3,701 strikeouts"
BULGY,Not flat
PUNNY,"Like ""Miró, Miró on the wall"""
DUCE,Italian leader
AGITA,"Butterflies, so to speak"
RIEN,It means nothing to Sarkozy
TEPEE,Crow's home
USERS,Ones entering rehab
OUTER,Exterior
SOWS,Starts a crop
REINA,"María Cristina, for one"
AJAR,Cracked a little
SATIN,Ballet slipper material
BERM,Road's shoulder
LBJ,"___ Library (Austin, Tex., attraction)"
IAMB,Poet's foot
AESIR,Gods of Asgard
JESS,"TV sleuth Fletcher, to friends"
CROC,"Big snapper, informally"
TMC,Alternative to Flix
DSOS,Medals for Tommy Atkins: Abbr.
BUELL,Union general at Shiloh
DROLL,Whimsical
LIMON,Spanish citrus fruit
A BED,"Supine, possibly"
DEWED,"Aglisten, in a way"
IBIS,National bird of Trinidad and Tobago
WRITE,Going-away request
MC CL,"1250, in old Rome"
WHIST,Card game similar to écarté
TO NO,___ end
RID I,"""___, Pagliaccio"" (aria)"
DOING,Up to
MONS,Feature of a lunar landscape
ELO I,Victims of the fictional Morlocks
BOOR,Yahoo
ZLOTY,1000 groszy
WONT,Habit
RETD,Abbr. after many a general's name
BE AV,Sitcom nickname of Wally's bro
SLIER,Better at conniving
BOOK,Stamp purchase
PREYS,"Victimizes, with ""on"""
CT RS,N.F.L. snappers: Abbr.
BELLA,Abzug of the National Women's Hall of Fame
BHT,Common preservative
SNIFF,Sound after a tear is shed
PALMY,"Flourishing, in Florida?"
AD IT,Miner's entry
SCOP,Old English poet
POKES,Nudges
FILER,Taxpayer
SKYE,Scottish island
SAC,"Western U.S. capital, to locals"
TESSA,"""The Gondoliers"" flower girl"
REEKS,Offends olfactorily
ARU,Indonesia's ___ Islands
FLIED,Popped (out)
COQ,Title bird in a Rimsky-Korsakov opéra
NED,Absent-Minded Professor ___ Brainard
JETES,Leaps across the ballet stage
ROSA,Artist Bonheur
WARE,It follows soft or silver
BAWD,House runner
MAIDS,Ones who'll straighten you up?
BARR,"William ___, 1990s attorney general"
UGHS,Bad reviews
MEMO,Message
ISIAH,"___ Thomas, N.B.A. Hall-of-Famer"
NIMES,French department capital known in Roman times as Nemausus
RODIN,"""Le Penseur"" sculptor"
JAMIE,Actor/stand-up comic Foxx
STUNT,Movie double's task
LUNG,"The ""pneumo"" in pneumonia"
BREA,"City in Orange County, Calif."
CREAM,It's skimmed off the top
VAC,"Carpet cleaner, briefly"
KMS,There are 1.609 in a mi.
MN OP,Alphabetical foursome
KA AT,Pitcher Jim who was a 16-time Gold Glove winner
ZETAS,"Z Z Z, to Greeks"
REBEL,One who's revolting
FORKS,Y'S
PILAF,Risotto relative
BALSA,"Makings of a model, maybe"
WHOD,"""___ have thought ...?"""
REID,"Tara of ""American Pie"""
LUGER,German gun
IF SO,Assuming that
VOUCH,___ for (substantiate)
PATHS,They often cross
FLATS,Shoes without heels
SELZ,Furman's partner in brokerage
TELAR,Relating to tissue
DULCE,"Sweet, to Scipio"
LUCI,Light: Prefix
SEXED,"Much-debated school subject, for short"
OID,Fact finisher
PREX,"School head, slangily"
MODEL,One paid to get shot
IDEE,Bonne _____ (clever thought)
GRAVE,See 1-Down
KOHL,1980's-90's chancellor Helmut
TRIBE,"Cree, Creek or Crow"
TROTH,Something to plight
HAND,"Flush, for one"
LOWS,Opposite of highs
MOPS,Cleans (up)
NY NY,"""30 Rock"" setting, briefly"
PEPE,Nickname for José
TRAPS,Bunkers
NOBEL,1984 prize for Desmond Tutu
BOGEY,One over par
LUMPY,"Not evenly padded, as a mattress"
MATSU,Taiwan-controlled island
GOATS,Fall guys
ZIT,Unpopular spot
PEPS,"Livens, with ""up"""
KBS,Computer units: Abbr.
FOLIC,___ acid
LIFER,Inmate who's never getting out
UNDUE,Lacking justification
ROAMS,Goes without purpose
HID,Shaded
SEGO,Utah's ___ Canyon
CARTS,Step 4 of the journey
FDR,"One of the Big Three, for short"
TRIOS,Small bands
REPAD,"Fix, as a worn cushion"
MOPES,Looks hangdog
NIKE,Giant in footwear
AKERS,Astronaut Thomas on four space shuttle flights
IDE,Periodic table suffix
OCTAL,Like a certain computer number system
ADM,"William Halsey, e.g.: Abbr."
FERN,Shedder of spores
TENT,Camp sight
UN OS,Article in Hoy
CERTS,They might save your breath
TERR,"Okla., before 1907"
QUIRK,Odd behavior
LEU,Money of Romania
TAMS,Headwear worn over dreadlocks
NO AM,Cognitive scientist Chomsky
DADE,"___ City, Fla., NE of Tampa"
RPM,"Tach reading, for short"
FAVE,"Top choice, so to speak"
TRESS,"Lover's keepsake, perhaps"
SUPRA,Old Toyota sports car
A GRO,Soil combiner
XJS,Classic Jaguar
LPNS,Some hosp. staffers
CUR,Contemptible sort
LANI,Activist Guinier
IODOL,Antiseptic compound
BASES,Loaded things?
BUR,Prickly husk
NOVAE,Pop stars?
IT AT,"""Leave ___ that!"""
WIZEN,Shrink from age
TINED,Like forks
EPOCH,Long time
HAAS,See 90-Across
WHIZ,Ace
UAE,Dubai's land: Abbr.
LEERS,Certain looks
SMOKY,Great ___ Mountains National Park
CAGY,Showing deviousness
SPIT,It turns at a pig roast
PACES,Walks outside the delivery room?
SAD,Dejected
MIRO,"""The Farm"" painter, 1921"
LATER,"""I'm outta here!"""
NORMA,"""The Divorcee"" actress Shearer"
JULIA,"Roberts of ""Erin Brockovich"""
DACHE,Hat designed Lilly
LGBT,"Letters of ""pride"""
HITE,Issuer of a famous report
TERRE,Land in a foreign land?
ATRIA,Fancy hotel features
CRIED,"""I can't remember if I ___"" (""American Pie"" lyric)"
MITCH,Bandleader Miller
WHOOP,Victory shout
AN IN,What the connected may have
CASES,Sheaths
GM AC,Car financing inits.
RIEL,"100 sen, in Cambodia"
ARY,Ending with diet or diction
TM NT,"2007 film featuring Raphael, Leonardo, Donatello and Michelangelo"
LEIGH,"Janet of ""Psycho"""
COLE,Merry king
CD EF,Scale start
LOCAL,Express alternative
TOC,List in a book's front: Abbr.
OURS,Like community property
MELS,1970s-'80s sitcom diner
EWAN,Singer/songwriter MacColl
A T1,In accord (with)
PSALM,"The last one begins ""Praise ye the Lord"""
TWEEN,"Fan of pop's One Direction, maybe"
TRAIL,One might be made of bread crumbs
WOLF,"Alarmist's cry, in a fable"
FATS,Chief parts of adipose tissue
TO JO,W.W. II leader
DEC,Eggnog mo.
BLACK,"With 42-Across, a famous pirate"
AVERS,Maintains
DIMLY,How romantic dinners are lit
SE AU,Junior in 12 Pro Bowls
ZA ZU,"""The Lion King"" bird"
SOCLE,Pedestal base
HUNAN,Spicy cuisine
UN IS,États-___
HORA,Chair-raising experience?
TP KS,Some rtes.
HARDG,Grand entrance?
NYU,"Sch. where Ross teaches on ""Friends"""
SPEWS,Shoots
VALES,Low points
MIMES,Quietly tells a tale
RISER,Speaker's platform
OR EG,Where the John Day R. flows
DRT,"""The 5,000 Fingers of ___"" (1953 film musical)"
COWLS,Monks' hoods
THINE,Biblical possessive
CRUST,Part of the earth
CCV I,Year in Severus's reign
THS,Fractional suffixes
SALAS,"Cocina and baño, e.g."
ALLOW,Admit
ZONAL,Like some shipping rates
MUONS,Unstable particles
ASTER,Fall blossom
TENTH,Like J in the alphabet
SOULS,What the Egyptian deity Ammit devoured
BURST,Stick with a pin
THEM,The opponents
WERT,Biblical verb
WANDA,Title character in a 1988 John Cleese film
RERUN,"Summer show, often"
POULT,Young turkey
FCLEF,Symbol on a cello or tuba composition
AH SO,Mr. Moto remark
CHILE,"Long, narrow land"
LAMAR,Politico Alexander from Tennessee
SALMA,"Hayek of ""Wild Wild West"""
PADRE,Giant competitor
SOURS,Some cocktails
AARGH,"""Good grief!"""
FLEX,Show muscle?
SSI,Fed. funds
PICK,See 53-Across
DIN,What a jackhammer makes
EFTS,Salamanders
NI AS,Peeples and Vardalos
MITZI,"Gaynor of ""South Pacific"""
DOZEN,"""Cheaper by the _____"""
NYET,Yeltsin veto
BAT,"Hit a fly, perhaps"
WRONG,"Worth no points, say"
BASLE,"Swiss city on the Rhine, old-style"
RUN A,___ fever (be hot)
NEILL,"Actor Sam of ""The Horse Whisperer"""
DIED,Word on a gravestone
HAILS,Acclaims
JIF,Skippy rival
WYATT,Lawman Earp
JEW,Wandering ___
NHL,Grp. that frowns upon illegal checks
A RUN,Give _____ for one's money
CASCA,"""Julius Caesar"" role"
ELEM,K-6 sch. designation
JOEY,Baby kangaroo
WASNT,"""It ___ All Velvet"" (Mel Tormé autobiography)"
DIA,Semana segment
STENT,Arterial implant
VITO,Marlon's Oscar-winning role
BOLT,Something sticking out of Frankenstein's neck
KHZ,Radio freq.
CIRCE,She's dangerously fascinating
FRAY,Skirmish
RIOJA,"Spanish wine region, with ""La"""
ML IX,11th-century year
NERTS,"""Horsefeathers!"""
SOOEY,"""Here, piggies!"""
OSA,"Actress Massen of ""Tokyo Rose"""
LORES,Like early PC graphics
ELG,"""Les Girls"" actress Taina"
IN OR,"""___ out?"" (pet's choice)"
ISS,Edition: Abbr.
SHONE,Stood out
GALOP,Ballroom dance in duple time
PATIO,Picnic table place
GAR,"Fish whose name comes from the Old English for ""spear"""
COTE,Rooftop coop
ZU MA,"Jacob ___, South African president beginning in 2009"
EOS,Canon model
AFC,Jaguars' grp.
APGAR,Kind of test for newborns
DU HS,Simps' syllables
SAVED,Didn't withdraw
GNAR,Growl like a dog
STOWE,"""Uncle Tom's Cabin"" writer"
AGUE,Tropical woe
GAT,Roscoe
AVAIL,To no _____ (fruitlessly)
SOAPS,Bars that gradually get smaller
MOOG,Synthesizer inventor
KNOW,See 50-Down
WRIT,Means of enforcing compliance
VIN,Paris potable
SCORE,XX
THIGH,Chicken order
WRAP,"""That's a ___!"""
BOAS,Jungle menaces
GAPE,Gawk
DONS,Family figures?
PA IS,Spanish newspaper El ___
EBEN,"Irving Bacheller novel ""___ Holden"""
KNOB,Channel changer
JOKED,Cut up
COBB,Early hitting king
ARIAN,Sect follower?
YOUR,"""___ choice"""
PILAR,"Guerrilla in ""For Whom the Bell Tolls"""
LAMS,Fugitives' flights
DISK,"Tiddlywink, e.g."
MUREX,Dye-producing gastropod
TAXER,"Internal Revenue Service, e.g."
